BillingID,ReservationID,IssueDate,DueDate,TotalAmount,DiscountAmount,AmountPaid,PaymentDate,PaymentMethod,Status
60,19483,10/11/2021,10/18/2021,593.2,0,593.2,10/12/2021,Cash,Paid
61,1795,5/11/2021,5/18/2021,840.13,0,840.13,5/12/2021,Corporate Account,Paid
62,20381,7/4/2024,7/11/2024,1453.68,68.31,0,,Bank Transfer,Pending
63,22753,7/23/2022,7/30/2022,4836.6,0,4836.6,7/28/2022,Credit Card,Paid
64,8200,5/13/2021,5/20/2021,2341.2,0,0,,Credit Card,Overdue
65,24438,10/10/2022,10/17/2022,3452.08,162.22,0,,Cash,Pending
66,15259,7/28/2021,8/4/2021,307,48.37,307,7/28/2021,Credit Card,Paid
67,6168,8/3/2025,8/10/2025,5390.96,0,0,,Credit Card,Pending
68,6816,5/22/2020,5/29/2020,3390.71,159.34,3390.71,5/23/2020,Credit Card,Paid
69,7327,10/2/2020,10/9/2020,3874.22,864.78,3874.22,10/2/2020,Bank Transfer,Paid
70,19287,7/2/2022,7/9/2022,1387.42,0,1387.42,7/6/2022,Cash,Paid
71,9213,7/15/2023,7/22/2023,864.36,0,864.36,7/17/2023,Credit Card,Paid
72,6878,8/26/2024,9/2/2024,5360.66,0,5360.66,8/29/2024,Bank Transfer,Paid
73,8237,1/26/2020,2/2/2020,763.52,0,0,,Cash,Pending
74,18950,12/26/2022,1/2/2023,2153.64,339.33,2153.64,12/26/2022,Credit Card,Paid
75,19864,8/16/2023,8/23/2023,2758.04,0,0,,Credit Card,Pending
76,7094,8/21/2021,8/28/2021,2503.84,0,2503.84,8/22/2021,Corporate Account,Paid
77,20564,12/5/2025,12/12/2025,6287.03,0,0,,Credit Card,Pending
78,16433,11/9/2022,11/16/2022,275.32,12.94,275.32,11/9/2022,Cash,Paid
79,24569,9/6/2024,9/13/2024,2401.97,0,2401.97,9/10/2024,Credit Card,Paid
80,19977,5/10/2020,5/17/2020,1268.02,59.59,0,,Bank Transfer,Pending
81,12495,9/26/2022,10/3/2022,2370.61,235.18,2370.61,9/28/2022,Corporate Account,Paid
82,21785,3/7/2020,3/14/2020,4256.55,670.68,4256.55,3/9/2020,Cash,Paid
83,10989,10/1/2022,10/8/2022,1716.98,0,1716.98,10/1/2022,Cash,Paid
84,5071,8/23/2020,8/30/2020,5324.86,0,5324.86,8/28/2020,Bank Transfer,Paid
85,8645,2/18/2024,2/25/2024,3979.94,0,3979.94,2/21/2024,Corporate Account,Paid
86,18819,5/14/2024,5/21/2024,1805.55,0,1805.55,5/14/2024,Credit Card,Paid
87,9459,2/22/2022,3/1/2022,2110.23,0,2110.23,2/23/2022,Credit Card,Paid
88,21573,6/22/2020,6/29/2020,469.46,0,469.46,6/25/2020,Bank Transfer,Paid
89,13461,12/28/2024,1/4/2025,4670.33,0,4670.33,12/28/2024,Credit Card,Paid
90,12392,11/25/2023,12/2/2023,4096.74,0,4096.74,11/29/2023,Cash,Paid
91,2709,11/4/2024,11/11/2024,1820.31,0,0,,Credit Card,Pending
92,3266,7/17/2024,7/24/2024,1467.5,68.96,1467.5,7/19/2024,Credit Card,Paid
93,17037,8/23/2025,8/30/2025,701.98,32.99,701.98,8/26/2025,Cash,Paid
94,1991,3/27/2023,4/3/2023,4869.59,0,4869.59,3/31/2023,Cash,Paid
95,6046,2/19/2022,2/26/2022,1611.16,0,0,,Corporate Account,Pending
96,6237,8/11/2022,8/18/2022,6024.82,0,6024.82,8/15/2022,Cash,Paid
97,8864,11/27/2023,12/4/2023,4896.98,0,4896.98,11/30/2023,Credit Card,Paid
98,13118,7/27/2020,8/3/2020,1113.08,0,1113.08,7/28/2020,Credit Card,Paid
99,11855,3/15/2023,3/22/2023,3073.72,0,3073.72,3/19/2023,Credit Card,Paid
100,19290,4/16/2021,4/23/2021,4310.18,0,4310.18,4/21/2021,Cash,Paid
101,19417,6/12/2024,6/19/2024,2059.91,324.56,2059.91,6/17/2024,Credit Card,Paid
102,12528,1/23/2023,1/30/2023,1045.61,0,1045.61,1/23/2023,Bank Transfer,Paid
103,1351,8/20/2020,8/27/2020,1284.47,60.36,1284.47,8/25/2020,Credit Card,Paid
104,9225,3/27/2022,4/3/2022,3950,0,0,,Bank Transfer,Pending
105,8561,7/26/2025,8/2/2025,2655.38,0,0,,Credit Card,Pending
106,17253,5/1/2021,5/8/2021,523.69,0,523.69,5/2/2021,Credit Card,Paid
107,11109,6/24/2025,7/1/2025,436.42,0,436.42,6/28/2025,Credit Card,Paid
108,24771,1/28/2021,2/4/2021,2025.04,0,2025.04,2/1/2021,Bank Transfer,Paid
109,17829,7/18/2023,7/25/2023,3263.44,0,3263.44,7/19/2023,Bank Transfer,Paid
110,6344,12/17/2020,12/24/2020,2145.54,0,2145.54,12/21/2020,Corporate Account,Paid
111,10335,12/21/2020,12/28/2020,300.67,0,300.67,12/22/2020,Cash,Paid
112,17590,7/25/2023,8/1/2023,2078.66,0,2078.66,7/27/2023,Cash,Paid
113,619,10/16/2023,10/23/2023,2906.41,0,2906.41,10/16/2023,Credit Card,Paid
114,22489,11/20/2020,11/27/2020,1618.75,0,1618.75,11/23/2020,Cash,Paid
115,10472,6/5/2021,6/12/2021,1350.32,0,0,,Bank Transfer,Pending
116,20286,7/28/2020,8/4/2020,4500.78,0,4500.78,7/28/2020,Cash,Paid
117,18136,10/4/2020,10/11/2020,5058.43,0,5058.43,10/4/2020,Cash,Paid
118,5164,8/20/2025,8/27/2025,2237.57,0,2237.57,8/21/2025,Credit Card,Paid
119,16941,6/4/2024,6/11/2024,5624.45,0,5624.45,6/7/2024,Cash,Paid
120,18826,3/26/2024,4/2/2024,1999.03,314.97,1999.03,3/28/2024,Bank Transfer,Paid
121,5220,12/9/2020,12/16/2020,3955.07,0,0,,Bank Transfer,Pending
122,12269,3/18/2023,3/25/2023,5034.47,499.45,5034.47,3/20/2023,Credit Card,Paid
123,13114,2/1/2021,2/8/2021,1251.42,0,1251.42,2/5/2021,Credit Card,Paid
124,21212,3/18/2022,3/25/2022,1633.39,0,1633.39,3/22/2022,Credit Card,Paid
125,5437,6/17/2023,6/24/2023,5160.06,0,5160.06,6/22/2023,Cash,Paid
126,6382,3/21/2022,3/28/2022,4921.14,0,4921.14,3/23/2022,Bank Transfer,Paid
127,24935,12/4/2023,12/11/2023,2493.69,0,2493.69,12/9/2023,Cash,Paid
128,14951,1/24/2022,1/31/2022,2876.06,0,2876.06,1/29/2022,Credit Card,Paid
129,10996,3/10/2024,3/17/2024,1622.37,0,1622.37,3/13/2024,Corporate Account,Paid
130,1735,3/11/2023,3/18/2023,1572.53,0,0,,Cash,Pending
131,21691,3/19/2023,3/26/2023,2848.36,282.58,2848.36,3/22/2023,Cash,Paid
132,14956,3/9/2023,3/16/2023,644.97,0,644.97,3/9/2023,Credit Card,Paid
133,13425,8/21/2023,8/28/2023,1239.66,122.98,1239.66,8/24/2023,Bank Transfer,Paid
134,6550,12/12/2021,12/19/2021,1858,0,1858,12/16/2021,Credit Card,Paid
135,9481,1/26/2022,2/2/2022,976.24,0,0,,Bank Transfer,Overdue
136,14851,1/6/2022,1/13/2022,1901.69,188.66,1901.69,1/10/2022,Credit Card,Paid
137,20021,10/23/2023,10/30/2023,209.33,9.84,0,,Bank Transfer,Pending
138,6733,6/15/2025,6/22/2025,2466.21,0,0,,Cash,Pending
139,6059,3/22/2020,3/29/2020,2433.05,0,2433.05,3/24/2020,Credit Card,Paid
140,18040,4/22/2022,4/29/2022,2315.93,0,2315.93,4/26/2022,Cash,Paid
141,12763,1/3/2024,1/10/2024,1766.84,0,1766.84,1/3/2024,Credit Card,Paid
142,756,5/1/2021,5/8/2021,1159.81,0,1159.81,5/4/2021,Credit Card,Paid
143,16750,7/12/2025,7/19/2025,4812.08,0,4812.08,7/17/2025,Credit Card,Paid
144,10211,9/21/2025,9/28/2025,4226.19,0,0,,Credit Card,Pending
145,3351,12/15/2025,12/22/2025,1375.16,0,1375.16,12/16/2025,Credit Card,Paid
146,5991,1/13/2021,1/20/2021,812.16,0,812.16,1/13/2021,Cash,Paid
147,24057,8/17/2023,8/24/2023,1136.53,0,1136.53,8/21/2023,Credit Card,Paid
148,4405,2/4/2025,2/11/2025,5114.78,0,5114.78,2/8/2025,Credit Card,Paid
149,24691,2/22/2023,3/1/2023,5901.43,0,5901.43,2/24/2023,Cash,Paid
150,1132,4/20/2020,4/27/2020,2287.45,0,2287.45,4/23/2020,Bank Transfer,Paid
151,1786,3/27/2024,4/3/2024,3333.56,0,3333.56,3/28/2024,Cash,Paid
152,2581,7/13/2023,7/20/2023,4323.56,0,4323.56,7/13/2023,Bank Transfer,Paid
153,11428,11/3/2025,11/10/2025,3516.5,0,0,,Bank Transfer,Overdue
154,18359,5/8/2024,5/15/2024,1706.7,0,1706.7,5/8/2024,Credit Card,Paid
155,2851,1/12/2023,1/19/2023,1742.55,0,1742.55,1/12/2023,Credit Card,Paid
156,7363,1/18/2022,1/25/2022,4164.43,0,4164.43,1/20/2022,Credit Card,Paid
157,22390,6/18/2021,6/25/2021,3197.73,0,3197.73,6/21/2021,Cash,Paid
158,11648,4/22/2023,4/29/2023,2144.53,0,2144.53,4/27/2023,Corporate Account,Paid
159,14199,2/11/2024,2/18/2024,4903.01,0,4903.01,2/15/2024,Corporate Account,Paid
160,6968,12/13/2021,12/20/2021,1530.47,0,1530.47,12/14/2021,Credit Card,Paid
161,3579,9/11/2023,9/18/2023,6282.26,0,0,,Bank Transfer,Overdue
162,19931,6/2/2025,6/9/2025,1785.04,0,1785.04,6/7/2025,Bank Transfer,Paid
163,24666,12/11/2020,12/18/2020,2410.28,0,2410.28,12/12/2020,Credit Card,Paid
164,15973,11/21/2020,11/28/2020,1923.41,90.39,1923.41,11/25/2020,Bank Transfer,Paid
165,10183,4/1/2021,4/8/2021,3607.04,357.84,3607.04,4/1/2021,Cash,Paid
166,15418,1/11/2022,1/18/2022,2683.72,0,0,,Credit Card,Pending
167,18143,1/11/2025,1/18/2025,1637.08,0,1637.08,1/13/2025,Corporate Account,Paid
168,19806,9/16/2021,9/23/2021,6303.64,0,6303.64,9/17/2021,Credit Card,Paid
169,20971,9/19/2020,9/26/2020,596.89,94.05,596.89,9/24/2020,Bank Transfer,Paid
170,7028,10/23/2021,10/30/2021,2760.59,0,2760.59,10/28/2021,Bank Transfer,Paid
171,14347,9/21/2020,9/28/2020,1608.72,0,0,,Corporate Account,Overdue
172,7733,8/5/2022,8/12/2022,3291.17,0,3291.17,8/10/2022,Cash,Paid
173,13170,3/28/2020,4/4/2020,5389.13,0,5389.13,3/30/2020,Bank Transfer,Paid
174,18482,2/7/2025,2/14/2025,1027.25,0,1027.25,2/7/2025,Bank Transfer,Paid
175,775,3/7/2025,3/14/2025,1652.98,0,1652.98,3/9/2025,Bank Transfer,Paid
176,2682,9/4/2023,9/11/2023,2487.01,0,2487.01,9/5/2023,Bank Transfer,Paid
177,15693,11/17/2025,11/24/2025,857.21,85.04,857.21,11/22/2025,Corporate Account,Paid
178,2778,8/10/2025,8/17/2025,1349.15,0,1349.15,8/11/2025,Bank Transfer,Paid
179,8903,5/2/2025,5/9/2025,1170.88,0,1170.88,5/2/2025,Credit Card,Paid
180,18988,2/25/2021,3/4/2021,2542.03,0,0,,Cash,Overdue
181,15612,8/9/2020,8/16/2020,801.44,0,801.44,8/13/2020,Credit Card,Paid
182,9804,3/5/2023,3/12/2023,387.36,0,387.36,3/7/2023,Credit Card,Paid
183,15140,5/12/2025,5/19/2025,1785.55,0,1785.55,5/17/2025,Cash,Paid
184,24440,5/25/2020,6/1/2020,315.39,0,315.39,5/25/2020,Cash,Paid
185,16633,9/11/2025,9/18/2025,241.72,0,241.72,9/11/2025,Cash,Paid
186,19120,9/2/2021,9/9/2021,1495.68,148.38,1495.68,9/4/2021,Bank Transfer,Paid
187,16916,9/12/2024,9/19/2024,1033.25,0,1033.25,9/17/2024,Credit Card,Paid
188,22162,5/15/2023,5/22/2023,3131.83,0,3131.83,5/19/2023,Credit Card,Paid
189,1055,7/18/2025,7/25/2025,2840.25,281.77,2840.25,7/19/2025,Credit Card,Paid
190,10056,7/15/2022,7/22/2022,1281.44,127.13,1281.44,7/15/2022,Credit Card,Paid
191,16082,2/2/2024,2/9/2024,6076.62,602.84,6076.62,2/7/2024,Bank Transfer,Paid
192,21732,2/27/2021,3/6/2021,1154.77,0,1154.77,3/4/2021,Bank Transfer,Paid
193,14423,10/26/2020,11/2/2020,4348.77,431.43,4348.77,10/29/2020,Bank Transfer,Paid
194,23329,8/20/2022,8/27/2022,2172.49,0,2172.49,8/20/2022,Bank Transfer,Paid
195,8000,6/22/2022,6/29/2022,372.25,0,372.25,6/24/2022,Credit Card,Paid
196,6583,8/21/2025,8/28/2025,1610.4,253.74,1610.4,8/26/2025,Cash,Paid
197,3292,2/14/2021,2/21/2021,2541.35,252.12,2541.35,2/17/2021,Cash,Paid
198,9412,12/8/2020,12/15/2020,2408.38,0,2408.38,12/10/2020,Credit Card,Paid
199,3476,8/23/2023,8/30/2023,771.81,0,771.81,8/25/2023,Bank Transfer,Paid
200,6959,4/10/2022,4/17/2022,413.49,0,413.49,4/14/2022,Credit Card,Paid
201,13927,1/11/2024,1/18/2024,1704.76,0,0,,Bank Transfer,Pending
202,9579,4/24/2024,5/1/2024,2587.21,0,2587.21,4/28/2024,Bank Transfer,Paid
203,3367,3/22/2020,3/29/2020,1386.03,65.13,1386.03,3/26/2020,Credit Card,Paid
204,23266,10/12/2020,10/19/2020,2295.78,227.76,0,,Credit Card,Pending
205,18428,4/6/2025,4/13/2025,1277.33,0,0,,Bank Transfer,Overdue
206,6192,2/20/2023,2/27/2023,1684.4,0,1684.4,2/23/2023,Cash,Paid
207,7741,6/10/2020,6/17/2020,1584.78,0,1584.78,6/15/2020,Cash,Paid
208,20991,3/17/2025,3/24/2025,1268.6,0,1268.6,3/19/2025,Cash,Paid
209,17457,9/18/2020,9/25/2020,2388.14,0,2388.14,9/19/2020,Credit Card,Paid
210,9259,8/20/2022,8/27/2022,2048.96,0,2048.96,8/25/2022,Credit Card,Paid
211,12540,7/18/2022,7/25/2022,1175.07,55.22,1175.07,7/22/2022,Cash,Paid
212,15401,5/13/2021,5/20/2021,5418.11,254.61,0,,Credit Card,Pending
213,1648,7/22/2024,7/29/2024,2741.76,0,2741.76,7/26/2024,Corporate Account,Paid
214,24533,7/16/2024,7/23/2024,398.77,39.56,0,,Cash,Pending
215,4200,12/26/2021,1/2/2022,5052.53,237.43,5052.53,12/28/2021,Credit Card,Paid
216,9268,4/20/2022,4/27/2022,2979.65,295.6,0,,Credit Card,Pending
217,7285,4/20/2023,4/27/2023,1741.6,0,1741.6,4/24/2023,Cash,Paid
218,5724,6/21/2022,6/28/2022,1911.04,301.11,1911.04,6/24/2022,Bank Transfer,Paid
219,11951,11/3/2020,11/10/2020,1127.83,0,0,,Credit Card,Pending
220,20003,11/15/2022,11/22/2022,1669.45,0,1669.45,11/17/2022,Credit Card,Paid
221,1123,9/23/2020,9/30/2020,1576.25,0,1576.25,9/25/2020,Bank Transfer,Paid
222,23359,9/26/2021,10/3/2021,1507.24,0,1507.24,9/30/2021,Credit Card,Paid
223,8683,6/14/2022,6/21/2022,3048.59,0,3048.59,6/19/2022,Cash,Paid
224,7576,6/17/2020,6/24/2020,483.98,22.74,483.98,6/20/2020,Bank Transfer,Paid
225,12598,9/28/2022,10/5/2022,2917.44,0,2917.44,10/2/2022,Corporate Account,Paid
226,7970,1/19/2025,1/26/2025,861.42,85.46,0,,Bank Transfer,Pending
227,21025,1/5/2021,1/12/2021,1189.92,0,1189.92,1/6/2021,Bank Transfer,Paid
228,2906,5/4/2025,5/11/2025,710.58,0,710.58,5/6/2025,Credit Card,Paid
229,7334,6/6/2024,6/13/2024,1781.54,0,1781.54,6/6/2024,Cash,Paid
230,19425,6/2/2020,6/9/2020,1613.35,160.05,1613.35,6/5/2020,Bank Transfer,Paid
231,15839,3/2/2024,3/9/2024,740.24,34.79,740.24,3/2/2024,Cash,Paid
232,22248,2/26/2020,3/4/2020,1973.82,0,1973.82,3/2/2020,Corporate Account,Paid
233,21159,1/9/2024,1/16/2024,2391.38,376.79,2391.38,1/14/2024,Credit Card,Paid
234,22347,9/27/2025,10/4/2025,2928.3,0,2928.3,9/28/2025,Corporate Account,Paid
235,11518,9/28/2022,10/5/2022,1140.38,0,1140.38,9/30/2022,Credit Card,Paid
236,24825,7/16/2022,7/23/2022,1744.23,173.04,0,,Bank Transfer,Overdue
237,10121,4/9/2022,4/16/2022,2367.73,234.89,2367.73,4/10/2022,Bank Transfer,Paid
238,5010,2/16/2020,2/23/2020,4104.55,0,4104.55,2/18/2020,Credit Card,Paid
239,6717,9/11/2025,9/18/2025,2454.59,0,2454.59,9/11/2025,Credit Card,Paid
240,1634,7/22/2020,7/29/2020,4109.4,647.49,4109.4,7/27/2020,Cash,Paid
241,23112,2/26/2025,3/5/2025,989.31,46.49,989.31,2/28/2025,Credit Card,Paid
242,12885,10/19/2025,10/26/2025,3450.81,0,3450.81,10/22/2025,Cash,Paid
243,18877,12/12/2021,12/19/2021,5155.47,0,5155.47,12/13/2021,Bank Transfer,Paid
244,6789,6/3/2023,6/10/2023,2980.19,0,2980.19,6/8/2023,Cash,Paid
245,22142,5/27/2021,6/3/2021,4039.29,636.44,4039.29,6/1/2021,Cash,Paid
246,11643,1/17/2023,1/24/2023,2869.94,0,2869.94,1/22/2023,Corporate Account,Paid
247,12736,4/18/2024,4/25/2024,1170.68,0,1170.68,4/19/2024,Cash,Paid
248,24316,2/1/2025,2/8/2025,4374.43,0,4374.43,2/3/2025,Credit Card,Paid
249,20879,7/21/2022,7/28/2022,4891.93,0,0,,Bank Transfer,Pending
250,11527,8/3/2022,8/10/2022,2654.57,0,2654.57,8/3/2022,Bank Transfer,Paid
251,21200,3/11/2021,3/18/2021,4916.52,487.75,4916.52,3/15/2021,Credit Card,Paid
252,3678,12/8/2020,12/15/2020,1940.22,0,1940.22,12/11/2020,Bank Transfer,Paid
253,2542,7/27/2022,8/3/2022,811.92,0,811.92,7/29/2022,Cash,Paid
254,16413,5/28/2024,6/4/2024,6122.56,287.71,6122.56,5/28/2024,Credit Card,Paid
255,7385,2/24/2024,3/2/2024,954.61,0,954.61,2/26/2024,Cash,Paid
256,3725,8/1/2023,8/8/2023,3822.67,0,0,,Bank Transfer,Pending
257,17325,10/9/2022,10/16/2022,1003.17,0,1003.17,10/10/2022,Bank Transfer,Paid
258,11260,10/5/2023,10/12/2023,1088.46,0,1088.46,10/7/2023,Credit Card,Paid
259,10039,6/12/2025,6/19/2025,621.39,0,621.39,6/17/2025,Cash,Paid
260,24830,1/21/2025,1/28/2025,1924.66,90.44,1924.66,1/23/2025,Bank Transfer,Paid
261,21792,4/21/2024,4/28/2024,3468.74,344.12,3468.74,4/23/2024,Cash,Paid
262,23110,6/10/2021,6/17/2021,4127.82,409.51,0,,Credit Card,Pending
263,7508,1/24/2022,1/31/2022,1244.43,277.78,1244.43,1/29/2022,Credit Card,Paid
264,1951,2/27/2023,3/6/2023,3902.61,0,3902.61,2/27/2023,Credit Card,Paid
265,22455,11/7/2022,11/14/2022,1541.36,0,1541.36,11/7/2022,Credit Card,Paid
266,19201,4/27/2020,5/4/2020,2983.26,0,2983.26,4/28/2020,Credit Card,Paid
267,24495,10/6/2022,10/13/2022,1321.24,0,1321.24,10/9/2022,Corporate Account,Paid
268,20957,1/23/2020,1/30/2020,3311.52,0,3311.52,1/26/2020,Credit Card,Paid
269,10943,9/13/2021,9/20/2021,1748.92,82.19,0,,Corporate Account,Pending
270,22555,3/17/2023,3/24/2023,2014.42,0,2014.42,3/17/2023,Credit Card,Paid
271,4996,8/27/2023,9/3/2023,1230.36,57.82,1230.36,8/30/2023,Corporate Account,Paid
272,2015,1/20/2024,1/27/2024,1333.96,62.69,1333.96,1/21/2024,Credit Card,Paid
273,6861,7/16/2023,7/23/2023,2352.12,0,2352.12,7/16/2023,Credit Card,Paid
274,19875,1/16/2020,1/23/2020,2814.58,0,0,,Bank Transfer,Pending
275,13283,1/18/2025,1/25/2025,4601.87,0,4601.87,1/20/2025,Cash,Paid
276,16596,2/14/2022,2/21/2022,2004.05,0,2004.05,2/15/2022,Corporate Account,Paid
277,5065,7/27/2024,8/3/2024,1900.73,0,1900.73,7/31/2024,Credit Card,Paid
278,13400,2/28/2024,3/6/2024,2243.24,105.42,2243.24,2/28/2024,Credit Card,Paid
279,8591,8/11/2025,8/18/2025,1248.94,123.9,0,,Cash,Pending
280,4249,1/21/2025,1/28/2025,1158.97,0,1158.97,1/26/2025,Corporate Account,Paid
281,19521,12/15/2021,12/22/2021,1664.07,0,1664.07,12/19/2021,Bank Transfer,Paid
282,5669,12/27/2023,1/3/2024,2124.32,0,2124.32,12/29/2023,Credit Card,Paid
283,23979,2/16/2021,2/23/2021,3960.35,0,3960.35,2/21/2021,Bank Transfer,Paid
284,892,3/27/2025,4/3/2025,4597.59,0,4597.59,3/31/2025,Cash,Paid
285,4856,6/12/2024,6/19/2024,2819.38,0,0,,Credit Card,Pending
286,5643,3/16/2023,3/23/2023,1714.41,0,1714.41,3/21/2023,Corporate Account,Paid
287,7432,8/17/2025,8/24/2025,1413.19,0,1413.19,8/20/2025,Bank Transfer,Paid
288,22309,11/24/2020,12/1/2020,5129.88,0,5129.88,11/24/2020,Credit Card,Paid
289,21049,12/13/2025,12/20/2025,4832.79,0,4832.79,12/15/2025,Corporate Account,Paid
290,9667,8/15/2022,8/22/2022,2165.98,101.78,0,,Credit Card,Pending
291,18484,12/27/2021,1/3/2022,776.32,77.02,776.32,1/1/2022,Cash,Paid
292,17152,7/20/2021,7/27/2021,4447.22,0,4447.22,7/24/2021,Credit Card,Paid
293,19841,3/17/2025,3/24/2025,3623.59,170.28,3623.59,3/20/2025,Cash,Paid
294,21273,10/8/2020,10/15/2020,2161,101.55,0,,Bank Transfer,Pending
295,15878,3/3/2023,3/10/2023,1699.79,0,1699.79,3/3/2023,Bank Transfer,Paid
296,14157,9/3/2023,9/10/2023,446.62,0,446.62,9/5/2023,Credit Card,Paid
