ShiftID,EmployeeID,ShiftDate,StartTime,EndTime,DepartmentID,ShiftType,HoursWorked,OvertimeHours,Status
77,67,1/2/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
78,19,1/2/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
79,3,1/2/2020,10:00:00 PM,6:00:00 AM,3,Night,11,3,Completed
80,19,1/2/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
81,27,1/2/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
82,84,1/2/2020,6:00:00 AM,2:00:00 PM,4,Morning,8,0,Completed
83,100,1/2/2020,2:00:00 PM,10:00:00 PM,4,Evening,6,0,Completed
84,68,1/2/2020,10:00:00 PM,6:00:00 AM,4,Night,12,4,Completed
85,37,1/2/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
86,21,1/2/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
87,37,1/2/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
88,77,1/2/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
89,53,1/2/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
90,5,1/2/2020,10:00:00 PM,6:00:00 AM,5,Night,11,3,Completed
91,94,1/2/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Scheduled
92,86,1/2/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
93,70,1/2/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
94,46,1/2/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
95,6,1/2/2020,10:00:00 PM,6:00:00 AM,6,Night,10,2,Completed
96,38,1/2/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
97,7,1/2/2020,6:00:00 AM,2:00:00 PM,7,Morning,9,4,Missed
98,31,1/2/2020,2:00:00 PM,10:00:00 PM,7,Evening,11,3,Completed
99,23,1/2/2020,10:00:00 PM,6:00:00 AM,7,Night,8,0,Completed
100,16,1/2/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
101,64,1/2/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
102,40,1/2/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
103,80,1/2/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Missed
104,40,1/2/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
105,32,1/2/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
106,32,1/2/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Missed
107,56,1/2/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
108,16,1/2/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
109,41,1/3/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
110,89,1/3/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
111,89,1/3/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
112,9,1/3/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
113,9,1/3/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Missed
114,65,1/3/2020,10:00:00 PM,6:00:00 AM,1,Night,7,0,Completed
115,26,1/3/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
116,50,1/3/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
117,82,1/3/2020,6:00:00 AM,2:00:00 PM,2,Morning,5,0,Missed
118,18,1/3/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
119,66,1/3/2020,2:00:00 PM,10:00:00 PM,2,Evening,9,1,Completed
120,50,1/3/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Scheduled
121,26,1/3/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
122,98,1/3/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
123,74,1/3/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
124,42,1/3/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
125,18,1/3/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
126,66,1/3/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
127,83,1/3/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
128,59,1/3/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
129,27,1/3/2020,6:00:00 AM,2:00:00 PM,3,Morning,6,0,Completed
130,3,1/3/2020,2:00:00 PM,10:00:00 PM,3,Evening,12,4,Completed
131,19,1/3/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
132,51,1/3/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Missed
133,75,1/3/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
134,83,1/3/2020,10:00:00 PM,6:00:00 AM,3,Night,6,0,Completed
135,51,1/3/2020,10:00:00 PM,6:00:00 AM,3,Night,9,1,Completed
136,76,1/3/2020,6:00:00 AM,2:00:00 PM,4,Morning,6,0,Completed
137,84,1/3/2020,2:00:00 PM,10:00:00 PM,4,Evening,8,0,Completed
138,76,1/3/2020,10:00:00 PM,6:00:00 AM,4,Night,8,0,Completed
139,29,1/3/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Missed
140,13,1/3/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
141,37,1/3/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
142,69,1/3/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Missed
143,45,1/3/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
144,77,1/3/2020,10:00:00 PM,6:00:00 AM,5,Night,8,1,Completed
145,22,1/3/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
146,6,1/3/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
147,38,1/3/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
148,46,1/3/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
149,30,1/3/2020,10:00:00 PM,6:00:00 AM,6,Night,11,3,Missed
150,94,1/3/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
151,47,1/3/2020,6:00:00 AM,2:00:00 PM,7,Morning,11,3,Completed
152,31,1/3/2020,2:00:00 PM,10:00:00 PM,7,Evening,5,0,Completed
153,7,1/3/2020,10:00:00 PM,6:00:00 AM,7,Night,8,0,Missed
154,40,1/3/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
155,16,1/3/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Missed
156,64,1/3/2020,6:00:00 AM,2:00:00 PM,8,Morning,12,4,Completed
157,96,1/3/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Missed
158,64,1/3/2020,2:00:00 PM,10:00:00 PM,8,Evening,11,3,Completed
159,48,1/3/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Scheduled
160,64,1/3/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
161,24,1/3/2020,10:00:00 PM,6:00:00 AM,8,Night,10,2,Missed
162,32,1/3/2020,10:00:00 PM,6:00:00 AM,8,Night,9,1,Completed
163,1,1/4/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
164,33,1/4/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Missed
165,81,1/4/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
166,89,1/4/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
167,33,1/4/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Missed
168,73,1/4/2020,10:00:00 PM,6:00:00 AM,1,Night,12,4,Missed
169,58,1/4/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
170,66,1/4/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
171,82,1/4/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
172,90,1/4/2020,6:00:00 AM,2:00:00 PM,2,Morning,7,0,Completed
173,82,1/4/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
174,50,1/4/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
175,58,1/4/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
176,18,1/4/2020,2:00:00 PM,10:00:00 PM,2,Evening,7,0,Completed
177,26,1/4/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
178,10,1/4/2020,10:00:00 PM,6:00:00 AM,2,Night,11,3,Missed
179,50,1/4/2020,10:00:00 PM,6:00:00 AM,2,Night,6,0,Completed
180,34,1/4/2020,10:00:00 PM,6:00:00 AM,2,Night,10,2,Completed
181,67,1/4/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Missed
182,59,1/4/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
183,43,1/4/2020,6:00:00 AM,2:00:00 PM,3,Morning,10,2,Missed
184,19,1/4/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
185,59,1/4/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Missed
186,27,1/4/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
187,3,1/4/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
188,67,1/4/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
189,43,1/4/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
190,52,1/4/2020,6:00:00 AM,2:00:00 PM,4,Morning,9,1,Completed
191,60,1/4/2020,2:00:00 PM,10:00:00 PM,4,Evening,8,0,Completed
192,4,1/4/2020,10:00:00 PM,6:00:00 AM,4,Night,8,0,Completed
193,37,1/4/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Scheduled
194,13,1/4/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
195,69,1/4/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
196,45,1/4/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Missed
197,93,1/4/2020,10:00:00 PM,6:00:00 AM,5,Night,6,0,Scheduled
198,61,1/4/2020,10:00:00 PM,6:00:00 AM,5,Night,6,0,Missed
199,14,1/4/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
200,38,1/4/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
201,14,1/4/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Missed
202,86,1/4/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
203,94,1/4/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
204,86,1/4/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
205,15,1/4/2020,6:00:00 AM,2:00:00 PM,7,Morning,8,0,Completed
206,39,1/4/2020,2:00:00 PM,10:00:00 PM,7,Evening,8,0,Completed
207,47,1/4/2020,10:00:00 PM,6:00:00 AM,7,Night,8,0,Completed
208,24,1/4/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
209,40,1/4/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
210,72,1/4/2020,6:00:00 AM,2:00:00 PM,8,Morning,9,1,Completed
211,72,1/4/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
212,64,1/4/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
213,24,1/4/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
214,72,1/4/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
215,24,1/4/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Missed
216,16,1/4/2020,10:00:00 PM,6:00:00 AM,8,Night,9,1,Completed
217,65,1/5/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
218,33,1/5/2020,6:00:00 AM,2:00:00 PM,1,Morning,5,0,Completed
219,89,1/5/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
220,57,1/5/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Scheduled
221,73,1/5/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Scheduled
222,9,1/5/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Completed
223,98,1/5/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
224,82,1/5/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
225,58,1/5/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
226,50,1/5/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
227,82,1/5/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Missed
228,18,1/5/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,3,Completed
229,74,1/5/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
230,50,1/5/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
231,34,1/5/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
232,90,1/5/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
233,98,1/5/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
234,18,1/5/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
235,99,1/5/2020,6:00:00 AM,2:00:00 PM,3,Morning,12,4,Completed
236,83,1/5/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
237,35,1/5/2020,6:00:00 AM,2:00:00 PM,3,Morning,10,2,Completed
238,27,1/5/2020,2:00:00 PM,10:00:00 PM,3,Evening,10,2,Scheduled
239,3,1/5/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Missed
240,99,1/5/2020,2:00:00 PM,10:00:00 PM,3,Evening,9,1,Completed
241,83,1/5/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
242,3,1/5/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
243,51,1/5/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
244,44,1/5/2020,6:00:00 AM,2:00:00 PM,4,Morning,10,2,Completed
245,36,1/5/2020,2:00:00 PM,10:00:00 PM,4,Evening,8,0,Completed
246,44,1/5/2020,10:00:00 PM,6:00:00 AM,4,Night,12,4,Missed
247,29,1/5/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
248,85,1/5/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
249,53,1/5/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
250,77,1/5/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
251,77,1/5/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
252,45,1/5/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
253,22,1/5/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
254,46,1/5/2020,6:00:00 AM,2:00:00 PM,6,Morning,9,1,Missed
255,54,1/5/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
256,22,1/5/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Missed
257,78,1/5/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Missed
258,30,1/5/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Missed
259,15,1/5/2020,6:00:00 AM,2:00:00 PM,7,Morning,8,0,Completed
260,63,1/5/2020,2:00:00 PM,10:00:00 PM,7,Evening,8,0,Missed
261,7,1/5/2020,10:00:00 PM,6:00:00 AM,7,Night,9,1,Missed
262,64,1/5/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Missed
263,16,1/5/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
264,80,1/5/2020,6:00:00 AM,2:00:00 PM,8,Morning,9,1,Missed
265,64,1/5/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Missed
266,24,1/5/2020,2:00:00 PM,10:00:00 PM,8,Evening,7,0,Completed
267,16,1/5/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
268,40,1/5/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
269,96,1/5/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
270,56,1/5/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
271,1,1/6/2020,6:00:00 AM,2:00:00 PM,1,Morning,8,0,Completed
272,65,1/6/2020,6:00:00 AM,2:00:00 PM,1,Morning,10,2,Completed
273,33,1/6/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
274,1,1/6/2020,2:00:00 PM,10:00:00 PM,1,Evening,8,0,Completed
275,33,1/6/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Completed
276,9,1/6/2020,10:00:00 PM,6:00:00 AM,1,Night,8,0,Completed
277,42,1/6/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
278,2,1/6/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Missed
279,58,1/6/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
280,34,1/6/2020,6:00:00 AM,2:00:00 PM,2,Morning,8,0,Completed
281,18,1/6/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
282,34,1/6/2020,2:00:00 PM,10:00:00 PM,2,Evening,6,0,Completed
283,90,1/6/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
284,2,1/6/2020,2:00:00 PM,10:00:00 PM,2,Evening,8,0,Completed
285,58,1/6/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
286,98,1/6/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
287,82,1/6/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
288,26,1/6/2020,10:00:00 PM,6:00:00 AM,2,Night,8,0,Completed
289,11,1/6/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Missed
290,19,1/6/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
291,51,1/6/2020,6:00:00 AM,2:00:00 PM,3,Morning,8,0,Completed
292,59,1/6/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
293,91,1/6/2020,2:00:00 PM,10:00:00 PM,3,Evening,6,0,Scheduled
294,3,1/6/2020,2:00:00 PM,10:00:00 PM,3,Evening,8,0,Completed
295,19,1/6/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
296,59,1/6/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Missed
297,75,1/6/2020,10:00:00 PM,6:00:00 AM,3,Night,8,0,Completed
298,76,1/6/2020,6:00:00 AM,2:00:00 PM,4,Morning,10,2,Completed
299,4,1/6/2020,2:00:00 PM,10:00:00 PM,4,Evening,8,0,Completed
300,12,1/6/2020,10:00:00 PM,6:00:00 AM,4,Night,12,4,Completed
301,93,1/6/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
302,45,1/6/2020,6:00:00 AM,2:00:00 PM,5,Morning,8,0,Completed
303,13,1/6/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Completed
304,53,1/6/2020,2:00:00 PM,10:00:00 PM,5,Evening,8,0,Missed
305,93,1/6/2020,10:00:00 PM,6:00:00 AM,5,Night,7,0,Completed
306,85,1/6/2020,10:00:00 PM,6:00:00 AM,5,Night,8,0,Completed
307,30,1/6/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Scheduled
308,54,1/6/2020,6:00:00 AM,2:00:00 PM,6,Morning,8,0,Completed
309,78,1/6/2020,2:00:00 PM,10:00:00 PM,6,Evening,8,0,Completed
310,14,1/6/2020,2:00:00 PM,10:00:00 PM,6,Evening,7,0,Completed
311,22,1/6/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
312,94,1/6/2020,10:00:00 PM,6:00:00 AM,6,Night,8,0,Completed
313,7,1/6/2020,6:00:00 AM,2:00:00 PM,7,Morning,8,0,Missed
314,63,1/6/2020,2:00:00 PM,10:00:00 PM,7,Evening,8,0,Completed
315,7,1/6/2020,10:00:00 PM,6:00:00 AM,7,Night,8,0,Completed
316,48,1/6/2020,6:00:00 AM,2:00:00 PM,8,Morning,9,1,Completed
317,32,1/6/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Completed
318,8,1/6/2020,6:00:00 AM,2:00:00 PM,8,Morning,8,0,Missed
319,64,1/6/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
320,48,1/6/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Missed
321,40,1/6/2020,2:00:00 PM,10:00:00 PM,8,Evening,8,0,Completed
322,56,1/6/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Scheduled
323,88,1/6/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
324,32,1/6/2020,10:00:00 PM,6:00:00 AM,8,Night,8,0,Completed
