GuestID,ServiceID,Rating,Comments,FeedbackDate
2096,9,4,Friendly staff,11/4/2025
850,12,4,Very good service,3/15/2020
1087,11,2,Disappointing,5/9/2020
1921,3,4,Nice experience,12/4/2024
1495,11,4,Good value,5/19/2024
2018,2,4,Friendly staff,9/29/2023
1417,10,4,Nice experience,9/15/2025
746,6,4,Good value,8/28/2023
1105,4,3,Could be better,12/14/2020
208,12,5,Highly recommend!,1/16/2022
2976,8,5,Outstanding experience!,10/22/2022
2961,8,2,Not satisfied,6/7/2024
2233,4,3,Okay service,10/1/2020
2581,11,3,Decent hotel,11/29/2025
393,14,4,Friendly staff,5/25/2025
2593,3,4,Nice experience,11/12/2023
73,1,5,Excellent service!,1/17/2022
1994,5,3,Fair experience,6/11/2020
500,9,4,Good value,3/30/2022
141,4,5,Perfect stay!,11/17/2023
2301,13,5,Amazing staff!,9/14/2024
272,12,5,Perfect stay!,4/19/2025
1988,7,3,Okay service,1/2/2021
2030,9,3,Okay service,7/2/2025
532,10,2,Not satisfied,12/26/2021
2775,2,3,Could be better,7/15/2022
1070,11,4,Friendly staff,2/22/2023
407,12,3,Okay service,11/22/2025
2853,9,4,Nice experience,9/16/2025
2645,12,3,Decent hotel,4/7/2022
2884,15,4,Very good service,6/21/2021
2958,2,5,Perfect stay!,9/7/2020
332,8,5,Highly recommend!,1/6/2025
1816,4,5,Outstanding experience!,12/5/2025
865,7,5,Perfect stay!,12/17/2022
321,15,4,Very good service,6/30/2024
1541,4,3,Okay service,12/10/2021
1303,14,4,Friendly staff,10/4/2025
825,6,3,Average stay,12/22/2023
2534,11,5,Amazing staff!,7/25/2025
1409,3,4,Very good service,9/24/2021
1239,15,5,Perfect stay!,12/7/2023
1421,13,2,Not satisfied,1/13/2024
2055,5,3,Could be better,1/27/2021
1427,15,1,Awful service,12/15/2021
632,2,1,Extremely disappointed,2/23/2022
589,5,1,Would not recommend,7/30/2023
1691,15,5,Amazing staff!,2/25/2022
1425,3,5,Excellent service!,7/2/2025
454,8,4,Good value,1/10/2025
2189,8,2,Poor service,4/8/2020
538,2,1,Extremely disappointed,8/16/2023
1668,13,4,Very good service,10/4/2024
1098,14,2,Not satisfied,1/11/2021
1571,15,4,Great hotel!,8/23/2023
1116,2,5,Highly recommend!,1/13/2023
1768,10,4,Good value,7/8/2020
710,6,3,Okay service,12/15/2021
1924,9,5,Excellent service!,7/8/2021
2413,11,5,Outstanding experience!,8/20/2021
636,2,5,Perfect stay!,5/17/2023
634,5,5,Outstanding experience!,5/26/2020
2512,5,5,Excellent service!,12/20/2025
928,4,3,Could be better,11/7/2021
2002,11,3,Okay service,6/6/2025
977,3,2,Poor service,6/25/2024
2596,15,4,Friendly staff,4/16/2022
350,3,5,Outstanding experience!,12/7/2021
1087,14,5,Amazing staff!,12/28/2025
304,12,4,Friendly staff,10/6/2020
2646,12,3,Decent hotel,8/8/2022
1055,2,1,Would not recommend,4/11/2020
1357,11,1,Would not recommend,8/17/2025
37,14,4,Great hotel!,4/7/2020
1476,8,2,Needs improvement,3/1/2021
2546,13,4,Friendly staff,2/23/2023
1281,11,5,Highly recommend!,1/20/2020
1420,15,4,Very good service,5/27/2022
194,14,4,Friendly staff,1/29/2024
287,11,2,Not satisfied,2/5/2025
815,9,5,Highly recommend!,3/30/2020
2543,4,2,Below expectations,2/8/2024
910,9,5,Excellent service!,11/23/2022
2964,13,4,Nice experience,11/5/2024
677,4,5,Perfect stay!,8/25/2023
2235,11,4,Very good service,7/29/2024
705,8,4,Great hotel!,8/23/2022
355,7,5,Perfect stay!,10/12/2022
2049,2,2,Needs improvement,4/7/2021
160,14,4,Nice experience,3/8/2025
1551,14,4,Great hotel!,11/11/2025
839,8,4,Nice experience,10/17/2020
1015,10,5,Outstanding experience!,12/27/2020
662,3,3,Decent hotel,12/4/2025
981,11,1,Awful service,3/22/2022
2401,15,4,Nice experience,6/2/2024
450,7,4,Very good service,5/11/2024
1283,4,1,Terrible experience,6/28/2025
162,11,3,Average stay,5/3/2024
922,5,5,Perfect stay!,12/17/2023
1409,8,3,Okay service,11/10/2024
2736,5,5,Highly recommend!,4/10/2023
2557,8,4,Good value,7/11/2022
1254,5,3,Decent hotel,1/26/2021
867,9,3,Average stay,8/19/2024
2763,2,3,Okay service,1/22/2022
2136,9,4,Nice experience,11/21/2022
313,6,5,Excellent service!,9/27/2022
238,11,2,Disappointing,6/4/2021
2919,8,4,Very good service,1/26/2025
1185,5,5,Excellent service!,10/2/2024
751,15,5,Excellent service!,5/11/2025
2456,6,4,Good value,2/22/2024
1918,10,5,Excellent service!,8/12/2024
1512,11,2,Disappointing,5/6/2023
159,11,5,Outstanding experience!,5/7/2021
2408,11,4,Nice experience,6/24/2020
2984,15,4,Good value,3/13/2023
463,2,4,Nice experience,6/17/2023
2428,13,2,Disappointing,12/5/2025
2237,13,4,Good value,5/19/2023
2363,13,5,Amazing staff!,2/18/2025
1046,7,5,Perfect stay!,4/10/2021
301,2,5,Perfect stay!,7/10/2022
150,4,3,Fair experience,12/3/2023
1304,7,1,Would not recommend,2/1/2024
1822,8,3,Fair experience,2/18/2022
690,6,3,Could be better,2/20/2020
559,5,4,Very good service,2/21/2024
2195,10,5,Highly recommend!,10/27/2021
2223,3,5,Amazing staff!,5/29/2022
804,2,4,Nice experience,10/8/2021
2342,2,3,Could be better,12/6/2024
945,1,5,Highly recommend!,9/13/2020
160,15,5,Outstanding experience!,10/9/2022
1300,5,5,Highly recommend!,4/10/2021
2873,10,4,Nice experience,4/14/2021
1720,6,3,Fair experience,4/30/2025
76,12,2,Poor service,1/17/2023
1496,12,5,Amazing staff!,10/2/2021
1614,15,3,Decent hotel,6/17/2022
1968,12,5,Amazing staff!,11/27/2025
444,14,5,Highly recommend!,1/4/2020
2286,15,3,Okay service,1/15/2024
2151,13,4,Great hotel!,7/15/2024
2126,5,5,Excellent service!,10/18/2025
1715,12,4,Nice experience,1/21/2025
2602,6,5,Outstanding experience!,7/5/2020
1128,7,4,Good value,3/8/2022
1219,2,3,Okay service,2/14/2024
369,2,1,Very poor,4/30/2022
2451,14,3,Decent hotel,1/22/2021
1887,10,4,Friendly staff,2/16/2024
611,3,5,Perfect stay!,5/17/2024
97,8,4,Very good service,1/10/2023
2872,14,3,Average stay,12/23/2023
2338,1,4,Nice experience,8/2/2025
135,13,4,Great hotel!,5/21/2023
926,6,4,Very good service,8/29/2021
1369,3,4,Nice experience,1/26/2024
145,4,5,Amazing staff!,3/6/2021
2311,15,4,Friendly staff,12/18/2021
965,6,4,Friendly staff,7/7/2021
709,6,1,Would not recommend,7/14/2020
2293,2,3,Decent hotel,3/12/2021
463,13,4,Great hotel!,8/26/2020
2202,15,5,Amazing staff!,4/5/2021
1914,15,3,Decent hotel,10/13/2025
673,6,3,Okay service,9/23/2024
1116,6,5,Highly recommend!,12/18/2024
1675,7,3,Fair experience,6/25/2022
2920,2,5,Amazing staff!,10/16/2021
1105,9,4,Nice experience,3/20/2025
2345,2,2,Below expectations,1/15/2025
1095,12,5,Highly recommend!,1/25/2021
1572,6,4,Great hotel!,7/8/2025
1317,2,3,Fair experience,2/26/2020
2447,10,4,Friendly staff,7/15/2024
2273,7,3,Okay service,7/18/2023
390,3,2,Not satisfied,6/6/2023
935,6,2,Poor service,9/13/2024
2724,14,5,Excellent service!,2/25/2020
491,15,5,Excellent service!,8/21/2024
2479,4,4,Nice experience,1/29/2023
2868,15,4,Good value,10/15/2024
781,2,4,Great hotel!,9/30/2025
2574,5,2,Needs improvement,6/22/2020
257,4,4,Good value,12/25/2022
2862,1,3,Decent hotel,11/23/2021
1903,5,2,Needs improvement,5/3/2024
503,14,2,Needs improvement,11/15/2024
2466,10,5,Outstanding experience!,9/18/2023
1426,7,5,Perfect stay!,4/20/2020
959,12,4,Great hotel!,3/22/2024
796,3,3,Fair experience,2/26/2022
2584,2,4,Nice experience,5/15/2022
2907,9,2,Needs improvement,1/8/2024
2853,8,4,Nice experience,12/20/2023
1340,7,3,Okay service,1/12/2024
2594,14,5,Excellent service!,6/16/2022
2829,3,2,Poor service,5/19/2021
2500,3,4,Nice experience,9/1/2024
2236,15,5,Highly recommend!,10/8/2023
1033,8,4,Great hotel!,12/12/2022
1769,8,5,Perfect stay!,3/23/2021
75,9,5,Outstanding experience!,2/27/2023
2274,6,5,Perfect stay!,6/9/2020
1679,5,4,Great hotel!,11/23/2021
874,4,5,Perfect stay!,6/3/2024
359,8,3,Fair experience,7/30/2023
892,5,1,Very poor,4/30/2020
2918,8,4,Good value,4/11/2023
2063,11,5,Highly recommend!,1/17/2022
2186,13,3,Fair experience,9/5/2025
1397,2,4,Good value,4/18/2022
2010,8,5,Excellent service!,4/2/2025
1500,14,4,Great hotel!,2/24/2022
2544,2,2,Poor service,5/29/2024
1714,15,4,Great hotel!,2/21/2024
2898,10,4,Friendly staff,10/26/2025
449,1,2,Needs improvement,1/9/2021
1702,5,2,Not satisfied,10/17/2025
1967,11,3,Decent hotel,1/21/2021
941,4,4,Great hotel!,10/26/2020
1666,8,4,Good value,10/13/2025
758,15,4,Nice experience,11/2/2022
2728,13,4,Good value,4/16/2020
2857,9,3,Average stay,5/27/2022
933,7,5,Perfect stay!,7/16/2025
596,6,1,Extremely disappointed,4/13/2021
2995,3,4,Friendly staff,9/10/2022
2744,7,3,Could be better,4/12/2025
1869,14,1,Very poor,2/24/2024
2171,5,3,Okay service,9/23/2020
700,13,5,Highly recommend!,7/19/2021
691,4,5,Excellent service!,3/30/2024
1206,5,3,Fair experience,5/28/2020
2993,6,2,Disappointing,10/31/2024
2587,7,2,Poor service,9/3/2021
839,11,4,Very good service,3/6/2022
1905,5,4,Great hotel!,2/25/2025
1178,14,3,Okay service,10/24/2025
1379,12,5,Perfect stay!,7/11/2023
2843,1,2,Not satisfied,7/8/2022
1852,15,4,Good value,9/16/2025
1542,13,5,Highly recommend!,5/13/2022
2879,6,4,Friendly staff,2/10/2021
2574,3,5,Highly recommend!,1/25/2020
1644,14,4,Friendly staff,6/18/2022
2343,1,3,Average stay,9/11/2024
2879,4,4,Very good service,3/17/2025
997,15,4,Very good service,11/2/2024
589,1,3,Okay service,5/25/2024
2966,4,4,Nice experience,2/7/2020
2117,3,5,Amazing staff!,12/18/2024
